GCA_access	0	1	2	3	4	5	6	7	8	G4_counts_at_tss	10	11	12	13	14	15	16	17	18	G4_around_tss_mean	fold_enrichment
GCA_000008125.1	107	115	112	121	116	151	145	142	196	247	162	208	193	178	167	172	177	168	144	159.0	1.5534591195
GCA_000008565.1	21	27	20	39	39	43	60	59	87	241	99	88	66	57	39	44	38	47	44	60.9473684211	3.95423143351
GCA_000020685.1	20	20	19	19	20	14	21	28	37	134	50	31	33	27	28	40	39	29	29	33.5789473684	3.99059561129
GCA_000024425.1	55	57	49	68	66	66	58	77	60	119	101	116	108	78	88	87	86	82	82	79.1052631579	1.50432468397
GCA_000091545.1	103	113	110	116	116	150	144	144	204	266	176	208	183	170	171	177	177	168	154	160.526315789	1.65704918033
GCA_000092125.1	62	73	61	89	63	77	82	55	97	136	116	128	86	126	105	89	95	98	79	90.3684210526	1.50495049505
GCA_000092425.1	30	37	25	29	41	39	47	43	79	214	67	56	48	39	36	35	52	35	34	51.8947368421	4.12373225152
GCA_000173055.1	101	118	125	106	133	137	154	169	183	270	199	228	178	187	209	176	159	160	151	165.421052632	1.63219853643
GCA_000183745.1	25	21	36	30	37	25	46	40	61	101	55	55	46	44	43	42	49	34	40	43.6842105263	2.31204819277
GCA_000186385.1	38	32	31	44	42	46	63	83	138	338	102	77	83	78	49	69	57	37	51	76.7368421053	4.40466392318
GCA_000187005.1	66	99	77	90	108	115	113	118	126	218	147	150	129	137	138	137	129	110	114	122.157894737	1.78457561396
GCA_000190555.1	15	25	19	39	21	38	44	53	86	204	74	53	45	47	30	36	32	28	36	48.6842105263	4.19027027027
GCA_000195335.1	42	40	37	53	41	48	71	68	88	149	85	105	81	60	81	59	71	73	67	69.4210526316	2.14632297195
GCA_000196275.1	25	31	37	43	46	50	54	72	79	242	81	92	69	73	55	62	52	51	50	66.5263157895	3.63765822785
GCA_000214845.1	98	122	115	107	142	157	147	142	198	237	189	216	200	179	165	192	187	167	157	164.052631579	1.44465832531
GCA_000236585.1	116	136	112	126	127	155	156	164	172	323	217	213	176	185	185	195	186	164	183	173.210526316	1.86478274081
GCA_000252445.1	54	65	71	101	97	129	168	203	251	467	132	127	107	89	87	93	104	86	71	131.684210526	3.54636290967
GCA_000252835.2	91	102	87	93	106	139	140	117	138	221	141	179	167	138	148	157	168	138	108	135.684210526	1.62878200155
GCA_000258245.1	110	115	122	126	128	159	151	145	209	250	179	221	208	185	176	176	208	181	159	168.842105263	1.48067331671
GCA_000309885.1	130	152	132	152	126	185	193	186	210	320	241	270	220	198	224	239	199	209	184	198.421052632	1.61273209549
GCA_000317835.1	15	21	15	17	20	24	20	39	39	85	41	37	42	40	31	33	24	28	20	31.1052631579	2.73265651438
GCA_000346125.2	56	65	58	70	64	79	62	83	81	141	100	113	104	91	90	93	82	83	79	83.8947368421	1.68067754078
GCA_000376665.1	55	57	55	69	61	65	57	78	68	119	96	115	114	80	85	92	88	80	85	79.9473684211	1.48847926267
GCA_000511705.1	52	99	76	86	119	108	111	127	135	212	152	151	145	134	141	157	134	126	123	125.684210526	1.68676716918
GCA_000599865.1	45	40	54	65	88	90	141	154	210	586	133	126	92	104	86	94	85	90	83	124.526315789	4.70583262891
GCA_000708185.1	60	56	49	67	65	85	117	124	234	558	133	119	110	97	104	90	97	104	109	125.157894737	4.45836837679
GCA_000771745.2	102	126	110	117	123	132	182	133	160	236	189	182	175	187	178	190	185	173	153	159.631578947	1.47840422024
GCA_000794385.1	107	113	99	121	112	144	148	127	175	235	188	185	175	160	160	163	141	140	140	149.105263158	1.57606777268
GCA_000800395.1	35	40	38	42	47	61	68	82	122	333	88	65	59	59	44	53	46	46	34	71.6842105263	4.64537444934
GCA_000836395.1	54	59	57	63	58	66	51	53	55	114	91	107	94	69	115	95	90	82	79	76.4210526316	1.49173553719
GCA_001007995.1	35	59	52	61	54	85	90	125	204	468	128	96	84	96	59	62	64	64	57	102.263157895	4.57642820381
GCA_001280255.1	88	113	118	107	116	119	143	141	168	327	190	219	182	184	194	169	161	169	149	160.894736842	2.03238469087
GCA_001294665.1	54	96	65	77	89	102	101	116	119	177	124	141	111	100	127	109	124	110	105	107.736842105	1.64289203713
GCA_001399775.1	99	125	118	101	124	144	151	165	175	260	197	229	176	188	205	165	174	152	146	162.842105263	1.59663865546
GCA_001413985.1	40	49	47	57	62	77	90	91	138	406	72	52	65	43	52	45	35	41	43	79.2105263158	5.12558139535
GCA_001424185.1	35	45	51	65	61	63	116	133	195	498	125	88	88	77	87	85	67	72	57	105.684210526	4.71215139442
GCA_001485435.1	49	55	60	72	86	95	111	180	250	626	183	132	122	121	81	93	86	88	72	134.842105263	4.64246682279
GCA_001507665.1	37	46	49	56	61	92	102	131	185	508	136	119	91	92	72	65	64	63	51	106.315789474	4.77821782178
GCA_001535545.1	95	100	100	100	104	136	143	129	160	217	153	186	167	147	146	145	176	150	131	141.315789474	1.5355679702
GCA_001623175.1	48	57	56	62	59	61	63	59	57	125	99	105	106	85	104	105	95	89	88	80.1578947368	1.55942219304
GCA_001638825.1	19	27	18	37	33	38	65	54	92	304	98	73	49	48	37	46	37	42	41	60.9473684211	4.98791018998
GCA_001644565.1	33	35	35	39	41	52	75	95	128	300	63	54	48	41	37	40	44	32	42	64.9473684211	4.61912479741
GCA_001880325.1	104	126	104	129	113	152	137	147	154	267	195	187	169	170	185	178	156	165	146	157.052631579	1.70006702413
GCA_001949125.1	43	37	40	65	49	81	85	114	152	451	138	89	87	79	66	66	76	71	51	96.8421052632	4.65706521739
GCA_002017875.1	57	59	55	72	83	103	125	174	279	628	145	108	102	109	85	98	83	89	94	134.105263158	4.68288854003
GCA_002198095.1	50	66	60	70	95	122	135	204	308	669	172	99	128	112	95	91	103	96	75	144.736842105	4.62218181818
GCA_900102145.1	90	124	131	125	138	166	184	173	192	329	222	242	221	192	196	220	192	204	171	184.842105263	1.77989749431
GCA_900109185.1	26	28	36	41	54	61	70	83	165	387	115	68	70	56	70	68	59	56	63	82.9473684211	4.66560913706
GCA_900176165.1	64	57	90	75	88	99	119	132	254	597	180	126	139	123	107	111	124	117	82	141.263157895	4.22615499255
