GCA_access	0	10	20	30	40	50	60	70	80	90
GCA_000008125.1	0.0175561797753	0.0338834269663	0.0507373595506	0.0714536516854	0.0926966292135	0.110779494382	0.129915730337	0.151685393258	0.169943820225	0.188728932584
GCA_000008565.1	0.0552995391705	0.10547875064	0.141321044547	0.177675371224	0.201228878648	0.223246287762	0.26062467998	0.275473630312	0.295442908346	0.31541218638
GCA_000020685.1	0.0346020761246	0.090830449827	0.134948096886	0.15830449827	0.177335640138	0.194636678201	0.216262975779	0.232698961938	0.243944636678	0.260380622837
GCA_000024425.1	0.0131284021774	0.0272174191483	0.0435478706372	0.0614793467819	0.0774895933397	0.0963816842779	0.120717259046	0.13576689081	0.152737752161	0.169708613513
GCA_000091545.1	0.0181913591044	0.035683050551	0.0549239111422	0.0755641070492	0.0976036382718	0.117194332692	0.137309777856	0.161273395137	0.176491166696	0.195557110373
GCA_000092125.1	0.0153534183082	0.0309965237543	0.0486674391657	0.0683661645423	0.087775202781	0.106025492468	0.123986095017	0.137891077636	0.155851680185	0.17033603708
GCA_000092425.1	0.0511788384129	0.101782633698	0.142610695802	0.169637722829	0.190339275446	0.210465784934	0.234042553191	0.253018976423	0.27027027027	0.288096607246
GCA_000173055.1	0.0188391038697	0.0378479293958	0.056177868296	0.0739986422267	0.0962321792261	0.116429056348	0.140529531568	0.162253903598	0.180753564155	0.198234894773
GCA_000183745.1	0.0204968944099	0.0496894409938	0.0701863354037	0.101242236025	0.121118012422	0.13850931677	0.16149068323	0.180124223602	0.198136645963	0.218633540373
GCA_000186385.1	0.0613656006914	0.112791702679	0.175453759723	0.207000864304	0.232065687122	0.261019878997	0.28176318064	0.303370786517	0.321521175454	0.340535868626
GCA_000187005.1	0.0201016125469	0.0406450187762	0.0565495913408	0.0762094102054	0.094543848023	0.114866357411	0.133863485752	0.15418599514	0.170090567705	0.187320521317
GCA_000190555.1	0.052495139339	0.105638366818	0.157485418017	0.195074530136	0.220349967596	0.243681140635	0.265068049255	0.287103046014	0.309138042774	0.328580686973
GCA_000195335.1	0.0172968624296	0.0498793242156	0.0699919549477	0.0949316170555	0.113837489944	0.135559131134	0.158487530169	0.182220434433	0.203539823009	0.222445695897
GCA_000196275.1	0.0486295313882	0.0875331564987	0.125110521662	0.142351900973	0.16091954023	0.188328912467	0.214412024757	0.236516357206	0.25198938992	0.270114942529
GCA_000214845.1	0.0161592107501	0.0316380336792	0.0484776322504	0.0731416907637	0.0915121619323	0.110222827011	0.130634461643	0.153087259738	0.168395985712	0.186936553836
GCA_000236585.1	0.0213028712566	0.0393640012349	0.0583513430071	0.078264896573	0.0967891324483	0.117320160543	0.134300710096	0.1534424205	0.170731707317	0.185242358753
GCA_000252445.1	0.0418222554145	0.0863828727906	0.132437142146	0.168035847647	0.19143639532	0.21931789893	0.249190938511	0.271595718198	0.296987801842	0.318645755539
GCA_000252835.2	0.0184597062326	0.0353314807463	0.0518062723303	0.0690750297737	0.0867407701469	0.104208019055	0.122270742358	0.144898769353	0.160579595077	0.179634775705
GCA_000258245.1	0.0148612945839	0.0317040951123	0.0493725231176	0.0708388375165	0.0904887714663	0.109808454425	0.128797886394	0.150594451783	0.167437252312	0.186591809775
GCA_000309885.1	0.0198545861298	0.037192393736	0.0534116331096	0.0738255033557	0.0938199105145	0.113255033557	0.135067114094	0.155061521253	0.174356823266	0.190436241611
GCA_000317835.1	0.0222016651249	0.0601295097132	0.0962072155412	0.119333950046	0.138760407031	0.160037002775	0.185013876041	0.206290471785	0.22664199815	0.252543940796
GCA_000346125.2	0.014710485133	0.0328638497653	0.0510172143975	0.0701095461659	0.0879499217527	0.107042253521	0.131768388106	0.148982785603	0.163693270736	0.181220657277
GCA_000376665.1	0.0140845070423	0.0272087067862	0.0451344430218	0.0617797695262	0.0803457106274	0.095390524968	0.119078104994	0.138604353393	0.154609475032	0.171254801536
GCA_000511705.1	0.0186935969059	0.0343790287924	0.0539321014181	0.0743446497636	0.0951869359691	0.113235926085	0.131284916201	0.150408250967	0.169961323593	0.185646755479
GCA_000599865.1	0.0552606177606	0.115106177606	0.162644787645	0.188223938224	0.208011583012	0.231418918919	0.253861003861	0.273648648649	0.294401544402	0.316361003861
GCA_000708185.1	0.0637996219282	0.113421550095	0.151701323251	0.177457466919	0.200141776938	0.223534971645	0.244565217391	0.263232514178	0.279300567108	0.297495274102
GCA_000771745.2	0.0133605784345	0.0286073561773	0.0407104684062	0.0589437283873	0.0765482552656	0.09100911663	0.109713926438	0.124960704181	0.140993398302	0.157340458975
GCA_000794385.1	0.0172502134927	0.0305721605465	0.0497011101623	0.068830059778	0.0874466268147	0.105721605465	0.123142613151	0.141417591802	0.157130657558	0.175234842015
GCA_000800395.1	0.0609053497942	0.112757201646	0.157201646091	0.185185185185	0.21316872428	0.230041152263	0.250205761317	0.269547325103	0.288888888889	0.302469135802
GCA_000836395.1	0.0148339245405	0.0293453724605	0.0448242502419	0.0603031280232	0.0748145759432	0.0893260238633	0.107384714608	0.124475975492	0.138664946791	0.154466301193
GCA_001007995.1	0.0493789760679	0.114510754317	0.165404422902	0.197212965768	0.222356861557	0.248106634353	0.271129960618	0.2956679794	0.313238412602	0.329900030294
GCA_001280255.1	0.0187423366614	0.0348572429497	0.0516727973375	0.0691889998248	0.091084252934	0.111403047819	0.134349273078	0.152566123664	0.173585566649	0.189700472937
GCA_001294665.1	0.0147885857113	0.0272859820871	0.0420745677984	0.0591543428452	0.0751926681941	0.0910227036034	0.107685898771	0.127473443033	0.141012289106	0.156634034576
GCA_001399775.1	0.0185342628805	0.035368134671	0.0544125148784	0.0714164257779	0.0943717054923	0.113586124809	0.135861248087	0.157966332256	0.177010712464	0.194184662472
GCA_001413985.1	0.0294550810015	0.0615611192931	0.0863033873343	0.106921944035	0.122827687776	0.140500736377	0.153755522828	0.169072164948	0.182326951399	0.19558173785
GCA_001424185.1	0.0539481615431	0.114828209765	0.173899939723	0.207655213984	0.228752260398	0.251356238698	0.277275467149	0.297166968053	0.317661241712	0.337251356239
GCA_001485435.1	0.0626959247649	0.119604533398	0.177477694719	0.211237038823	0.236074270557	0.259946949602	0.287677839402	0.314203038341	0.332770677598	0.354473113094
GCA_001507665.1	0.0530024509804	0.122242647059	0.179534313725	0.210784313725	0.238051470588	0.261948529412	0.287990196078	0.314338235294	0.334865196078	0.354779411765
GCA_001535545.1	0.0178147268409	0.0342438638163	0.0518606492478	0.0740300870942	0.090657165479	0.109857482185	0.130839271576	0.152414885194	0.168844022169	0.190023752969
GCA_001623175.1	0.0135222150676	0.0315518351578	0.047005795235	0.0627817128139	0.0798454603992	0.0949774629749	0.114938828075	0.131036703155	0.144880875724	0.16194462331
GCA_001638825.1	0.0671378091873	0.127713276123	0.176173649672	0.214033316507	0.233215547703	0.2523977789	0.285209490156	0.302372539122	0.316002019182	0.335689045936
GCA_001644565.1	0.0678690080683	0.120075937352	0.162316089226	0.196013289037	0.216421452302	0.239677266255	0.265780730897	0.284765068818	0.308020882772	0.324632178453
GCA_001880325.1	0.0194376952447	0.0348837209302	0.0557098229781	0.0772301284276	0.0945852134675	0.110378340854	0.127733425894	0.150295036446	0.166955918084	0.186393613329
GCA_001949125.1	0.0643564356436	0.119801980198	0.17095709571	0.20495049505	0.23201320132	0.249834983498	0.271617161716	0.294389438944	0.314191419142	0.334653465347
GCA_002017875.1	0.06	0.120705882353	0.172705882353	0.205647058824	0.228941176471	0.254588235294	0.280235294118	0.3	0.317411764706	0.333647058824
GCA_002198095.1	0.0599686730812	0.118818527635	0.172745580667	0.204743790557	0.236742000448	0.266278809577	0.289773998657	0.309241441038	0.328708883419	0.345938688745
GCA_900102145.1	0.0176557863501	0.0370919881306	0.0587537091988	0.0771513353116	0.0952522255193	0.114985163205	0.1353115727	0.155489614243	0.174183976261	0.191691394659
GCA_900109185.1	0.0588013569544	0.117602713909	0.175273275537	0.205427817565	0.231059178289	0.258198266114	0.273652468903	0.292499057671	0.312099509989	0.327176781003
GCA_900176165.1	0.0541730896278	0.101739704911	0.154151068047	0.183659986787	0.210526315789	0.235410702488	0.253468399031	0.268883505836	0.287601849813	0.307421272847
